image,latin_name,ID,nitrogen_tolerance
Bazzania trilobata.jpg,Bazzania trilobata,,
Calypogeia arguta.jpg,Calypogeia arguta,,
Calypogeia muelleriana.jpg,Calypogeia muelleriana,,
Cephalozia bicuspidata.jpg,Cephalozia bicuspidata,,
Chiloscyphus polyanthos.jpg,Chiloscyphus polyanthos,,
Diplophyllum albicans.jpg,Diplophyllum albicans,,
Lophocolea bidentata.jpg,Lophocolea bidentata,,
Lophozia ventricosa.jpg,Lophozia ventricosa,,
Metzgeria furcata.jpg,Metzgeria furcata,,
Odontoschisma sphagni.jpg,Odontoschisma sphagni,,
Orthocaulis floerkei.jpg,Orthocaulis floerkei,,
Ptilidium ciliare.jpg,Ptilidium ciliare,,
Radula complanata.jpg,Radula complanata,,
scapania undulata.jpg,Scapania undulata,,
